"BU_DESC__c","BU_ID__c","Code_Indexing__c","COUNTRY_ID__c","COUNTRY__c","GM_DESC__c","GM_ID__c","Id","MARKET_DESC__c","MARKET_ID__c","Name","OwnerId","Product_Id__c","Product_Name__c","RHMS_Vertical_Id__c","SBU1_DESC__c","SBU1_ID__c","SBU2_DESC__c","SBU2_ID__c","STATE_ID__c","SUBVERTICAL_DESC__c","SUBVERTICAL_ID__c","VERTICAL_DESC__c","VERTICAL_ID__c"
"Switzerland","119","3||119||299||1282","","","CONTINENTAL EUROPE","3","a0h0q000004KjNIAA0","","","CONTINENTAL EUROPE|Switzerland|SWISS|NOVARTIS","0050q0000036HRvAAM","","","","SWISS","299","NOVARTIS","1282","","","","",""
"Zenith","203","42||203||639||1283","","","M&A","42","a0h0q000004KjNJAA0","","","M&A|Zenith|Zenith|Zenith","0050q0000036HRvAAM","","","","Zenith","639","Zenith","1283","","","","",""
"Zenith","203","42||203||639","","","M&A","42","a0h0q000004KjNKAA0","","","M&A|Zenith|Zenith","0050q0000036HRvAAM","","","","Zenith","639","","","","","","",""
"Brazil","173","41||173||640","","","LATAM","41","a0h0q000004KjNLAA0","","","LATAM|Brazil|Frontica","0050q0000036HRvAAM","","","","Frontica","640","","","","","","",""
"Contino","205","42||205","","","M&A","42","a0h0q000004KjNMAA0","","","M&A|Contino","0050q0000036HRvAAM","","","","","","","","","","","",""
"Contino","205","42||205||642","","","M&A","42","a0h0q000004KjNNAA0","","","M&A|Contino|Contino-NA","0050q0000036HRvAAM","","","","Contino-NA","642","","","","","","",""
"Contino","205","42||205||642||1284","","","M&A","42","a0h0q000004KjNOAA0","","","M&A|Contino|Contino-NA|Contino-NA","0050q0000036HRvAAM","","","","Contino-NA","642","Contino-NA","1284","","","","",""
"Contino","205","42||205||643","","","M&A","42","a0h0q000004KjNPAA0","","","M&A|Contino|Contino- APAC","0050q0000036HRvAAM","","","","Contino- APAC","643","","","","","","",""
"Contino","205","42||205||643||1285","","","M&A","42","a0h0q000004KjNQAA0","","","M&A|Contino|Contino- APAC|Contino- APAC","0050q0000036HRvAAM","","","","Contino- APAC","643","Contino- APAC","1285","","","","",""
"Contino","205","42||205||644","","","M&A","42","a0h0q000004KjNRAA0","","","M&A|Contino|Contino- UK","0050q0000036HRvAAM","","","","Contino- UK","644","","","","","","",""
"Contino","205","42||205||644||1286","","","M&A","42","a0h0q000004KjNSAA0","","","M&A|Contino|Contino- UK|Contino- UK","0050q0000036HRvAAM","","","","Contino- UK","644","Contino- UK","1286","","","","",""
