"Name","Market__c","BU__c","FolderId__c"
"AP52","GGM","Adjustments","RrajOVv3AaLe"
"AP32","GGM","Africa","SaWBOhtabuDl"
"AP1","GGM","ANZ","t2YUOGxDwWNj"
"AP9","GGM","ASEAN","4421O5ICbFtG"
"AP25","GGM","Benelux","rYrbObecDpEC"
"AP31","GGM","BFS-UK","xxd7ODn0OIdq"
"AP19","GGM","Brazil","CkDbOoQnBqBd"
"AP44","GGM","Central and Eastern Europe","tJm6O7l1jahK"
"AP7","GGM","CommsMedia-UK","oYOwO3vIP60J"
"AP58","GGM","Continental Europe","rMVFOqTVfm8K"
"AP41","GGM","EI Tech","73cfO9CXdbma"
"AP20","GGM","France","gXjuOxAwTJb0"
"AP6","GGM","Germany","UYFzOYKSaVbX"
"AP8","GGM","Greater China","Z6MHO3cQsG1e"
"AP50","GGM","Healthcare-UK","6tC9OHL0C0QI"
"AP55","GGM","Hedera Consulting","avHYOl58QDaW"
"AP51","GGM","Inawisdom","XnEBOkmEGD35"
"AP4","GGM","India","zSDNONW2VwMK"
"AP22","GGM","Insurance-UK","nJ7POAS3NeIG"
"AP43","GGM","Japan","4v9KOdtUd0Z5"
"AP29","GGM","Life Sciences-UK","VJQ5Ow86ylwM"
"AP28","GGM","Meritsoft","1UdwOd0hMabE"
"AP56","GGM","Mexico","proGOYeK2h1h"
"AP16","GGM","Middle East","5IPmOpbrBYrE"
"AP5","GGM","MLEU-UK","DMZuOtBEtTDc"
"AP36","GGM","Netcentric","jtkNObKUh892"
"AP35","GGM","Nordics","fWi7OPsXb3KN"
"AP3","GGM","Others-UK","dI9UOrXshRva"
"AP37","GGM","RCG-UK","WFFoOIr3WGXS"
"AP40","GGM","South Europe","N0j0OmA2aCuF"
"AP18","GGM","Spanish South America","IaKPOiecZVkf"
"AP33","GGM","Switzerland","L9bBOva6q8cc"
"AP48","GGM","T&H-UK","IffbOTL5tdw2"
"AP38","GGM","Technology-UK","e1O1OQmczaCC"
"AP54","GGM","Zone","SfnXORUe8bEy"
"AP34","Internal","Internal","XJawOSq2NSRT"
"AP26","M&A - Multi Market","Contino","w3uSOnTVXxWm"
"AP45","M&A - Multi Market","MBG","HA0ZOxPDiYb7"
"AP30","M&A - Multi Market","Zenith","rNkAOZF3aYhb"
"AP49","NORTH AMERICA","10th Magnitude","zyycO65yqoN9"
"AP11","NORTH AMERICA","ATG","0FKZOnBxPVSm"
"AP27","NORTH AMERICA","BFS-NA","kuHbO5tLz1zQ"
"AP46","NORTH AMERICA","BrightWolf","TCpOOOotcZol"
"AP14","NORTH AMERICA","CMT-NA","1PmaOi3JUZX9"
"AP24","NORTH AMERICA","Code Zero","CGBxOvrjbwub"
"AP42","NORTH AMERICA","Collaborative Solutions","m7G3OWfwQhbv"
"AP10","NORTH AMERICA","Healthcare Business","jMYBOLtYkbUb"
"AP57","NORTH AMERICA","Idea Couture","KmhAOuvsJx7k"
"AP12","NORTH AMERICA","Insurance-NA","ZMz4OTc8QgB3"
"AP15","NORTH AMERICA","LEV","qxiIO6ogI6qN"
"AP17","NORTH AMERICA","Life Sciences-NA","61GGOf2X1uaV"
"AP47","NORTH AMERICA","Linium","AEGoObpRYbuz"
"AP2","NORTH AMERICA","MLEU-NA","aIQQOw9ZPDNH"
"AP39","NORTH AMERICA","Mustache","CSpPOSsbuh3y"
"AP53","NORTH AMERICA","Others","PbR2OMbhf6zo"
"AP21","NORTH AMERICA","RCGTH-NA","MurCOyETmvC9"
"AP23","NORTH AMERICA","Softvision","NCg8OVbBCWuF"
"AP59","Universal","Universal","ll1iO3PEbIKK"
